,Name,And_gate,OR_gate,XOR_gate,NOR_gate,DFF_gate
0,BoomCore_LargeBoom_TYP,200420,111004,1461,44176,49157
1,BoomCore_MediumBoom_TYP,127329,65332,1233,25489,35590
2,BoomCore_MegaBoom_TYP,423657,234269,3864,72812,66491
3,BoomCore_SmallBoom_TYP,59171,39523,1115,17126,23291
4,Briey_Briey_TYP,82813,24532,309,7502,125798
5,Core_Sodor1Stage_TYP,5481,1861,73,848,1395
6,Core_Sodor2Stage_TYP,4454,2061,145,849,1491
7,Core_Sodor3Stage_TYP,4110,1588,57,754,1637
8,Core_Sodor5Stage_TYP,5329,2414,114,905,1916
9,Core_SodorUCode_TYP,4513,2188,223,890,1611
10,GCDTL_GCDTLRocket_TYP,328,254,12,176,98
11,Hwacha_HwachaRocket_TYP,291499,118064,7366,48569,214039
12,LoopBranchPredictorBank_LoopbackNICLargeBoom_TYP,9127,2412,27,1845,3079
13,MuraxFast_MuraxFast_TYP,27335,10294,61,2011,68177
14,Murax_Murax_TYP,21976,9798,61,1826,68142
15,NV_NVDLA_csc_csc_TYP,326307,140160,4390,45189,60498
16,NV_NVDLA_rubik_rubik_TYP,6679,4395,464,2448,3359
17,Rocket_MediumRocket_TYP,10768,6707,304,2260,3915
18,Rocket_RV32Rocket_TYP,6768,4734,211,1715,2568
19,Rocket_Rocket_TYP,12490,5552,362,2366,4002
20,Rocket_TinyRocket_TYP,5593,4126,210,1557,2269
21,Sha3Accel_Sha3Rocket_TYP,10262,9379,127,5430,3265
22,VexRiscvFullNoMmuMaxPerf_VexRiscvFullNoMmuMaxPerf_TYP,102667,22182,244,6013,158275
23,VexRiscvFullNoMmuNoCache_VexRiscvFullNoMmuNoCache_TYP,4284,3006,228,1820,2192
24,VexRiscvFullNoMmu_VexRiscvFullNoMmu_TYP,46119,16922,211,4183,73657
25,VexRiscvFull_VexRiscvFull_TYP,46478,9940,271,4161,76094
26,VexRiscvLinuxBalancedSmp_VexRiscvLinuxBalancedSmp_TYP,54411,9750,316,3726,74911
27,VexRiscvLinuxBalanced_VexRiscvLinuxBalanced_TYP,43948,15412,327,8365,74674
28,VexRiscvLinuxFpuSmpNoDecoder_VexRiscvLinuxFpuSmpNoDecoder_TYP,87072,40431,1050,10128,146969
29,VexRiscvLinuxFpuSmpStupidDecoder_VexRiscvLinuxFpuSmpStupidDecoder_TYP,96038,50932,1103,9332,146904
30,VexRiscvLinuxFpuSmp_VexRiscvLinuxFpuSmp_TYP,92011,55037,1025,28480,146902
31,VexRiscvNoCacheNoMmuMaxPerf_VexRiscvNoCacheNoMmuMaxPerf_TYP,18653,3606,266,2198,16181
32,VexRiscvSmallAndProductiveICache_VexRiscvSmallAndProductiveICache_TYP,16962,2427,18,885,35110
33,VexRiscvSmallAndProductive_VexRiscvSmallAndProductive_TYP,3329,1082,46,445,1618
34,VexRiscvSmallestNoCsr_VexRiscvSmallestNoCsr_TYP,2232,972,90,318,1583
35,VexRiscvSmallest_VexRiscvSmallest_TYP,2005,852,35,361,1643
36,VexRiscvThreeStagesBar_VexRiscvThreeStagesBar_TYP,4289,1099,37,445,1339
37,VexRiscvThreeStagesMD_VexRiscvThreeStagesMD_TYP,2987,2349,214,1465,1522
38,VexRiscvThreeStagesMDfast_VexRiscvThreeStagesMDfast_TYP,4485,2553,185,1587,1546
39,VexRiscvThreeStages_VexRiscvThreeStages_TYP,2141,813,39,347,1315
40,VexRiscvTwoStagesBar_VexRiscvTwoStagesBar_TYP,2549,855,33,355,1290
41,VexRiscvTwoStagesMD_VexRiscvTwoStagesMD_TYP,3819,2147,215,1375,1438
42,VexRiscvTwoStagesMDfast_VexRiscvTwoStagesMDfast_TYP,3350,2611,207,1425,1430
43,VexRiscvTwoStages_VexRiscvTwoStages_TYP,2067,871,56,360,1298
44,VexRiscv_VexRiscvSecure_TYP,44823,12861,156,4464,75300
45,ac97_top_ac97_ctrl_TYP,2637,1081,8,461,2199
46,aes_cipher_top_aes_core_TYP,7616,3191,224,1700,530
47,aes_systemcaes_TYP,1395,1772,37,790,670
48,arm9_compatiable_code_arm9_cpu1_TYP,9213,2888,120,1465,1222
49,b14_1_b14_1_TYP,1247,873,48,494,215
50,b14_b14_TYP,1482,841,43,531,215
51,b17_1_b17_1_TYP,8146,4784,537,2385,1311
52,b17_b17_TYP,8406,5001,565,2391,1311
53,b18_1_b18_1_TYP,2866,1871,41,886,738
54,b18_b18_TYP,2876,1887,31,928,738
55,b19_1_b19_1_TYP,6057,3960,253,1923,1476
56,b19_b19_TYP,6057,3960,253,1923,1476
57,b20_1_b20_1_TYP,3016,2117,129,1184,430
58,b20_b20_TYP,3297,2118,143,1201,430
59,b21_b21_TYP,3460,2031,116,1243,430
60,b22_1_b22_1_TYP,4201,2953,208,1663,613
61,b22_b22_TYP,4956,3314,185,1870,613
62,des3_des_area_opt_TYP,741,430,7,265,96
63,des3_des_perf_opt_TYP,26426,10845,2494,3338,8808
64,des_systemcdes_TYP,883,309,57,85,190
65,eth_top_ethernet_TYP,6420,1603,66,1001,10544
66,fft_fft_TYP,1617,1531,286,999,512
67,fpu_fpu_TYP,17899,12476,1166,9271,610
68,mc_top_mem_ctrl_TYP,2203,1215,23,532,1065
69,pci_bridge32_pci_TYP,2151,1044,87,575,3304
70,picorv32_picorv32_TYP,3225,1514,94,893,1556
71,risclite_mx_arm9_cpu2_TYP,5594,1723,88,614,736
72,risclite_mx_arm9_cpu3_TYP,6132,2662,165,1460,775
73,s13207_bench_s13207_TYP,326,192,8,113,214
74,s35932_bench_s35932_TYP,1206,995,190,792,1728
75,s38417_bench_s38417_TYP,1898,1227,17,509,1462
76,s38584_bench_s38584_TYP,2956,1052,14,409,1159
77,s838_1_bench_s838_1_TYP,100,46,1,35,32
78,spi_top_spi_TYP,1457,365,7,97,229
79,tv80s_tv80_TYP,2256,1032,42,330,359
80,usbf_top_usb_funct_TYP,624,751,119,540,1737
81,vga_enh_top_vga_lcd_TYP,11665,1440,51,740,17055
82,wb_conmax_top_wb_conmax_TYP,5566,2887,0,1342,770
83,wb_dma_top_wb_dma_TYP,878,625,12,191,523
