,Name,Real_Power,Real_Area,Real_WNS,Real_TNS
0,Briey,860358.0,883023.0,-0.525,-1949.3
1,FPU,298213.0,88654.0,-0.804,-2350.6
2,GCDTLRocket,4373.0,1896.0,-0.095,-7.063
3,HwachaRocket,4908486.0,2063373.0,-1.538,-1.2
4,LargeBoom,2012317.0,785300.0,-1.152,-30162.8
5,LoopbackNICLargeBoom,55371.0,36775.0,-0.203,-463.802
6,MediumBoom,1389104.0,542734.0,-0.823,-15753.9
7,MediumRocket,127663.0,59577.0,-0.578,-871.973
8,MegaBoom,3333323.0,1337162.0,-1.811,-51560.4
9,Murax,317259.0,486347.0,-0.339,-1950.8
10,MuraxFast,372820.0,490929.0,-0.342,-2266.2
11,RV32Rocket,101659.0,42121.0,-0.55,-686.881
12,Rocket,185451.0,72288.0,-0.615,-1007.3
13,Sha3Rocket,203118.0,59207.0,-0.363,-656.121
14,SmallBoom,965663.0,337083.0,-0.826,-8490.1
15,Sodor1Stage,37865.0,21540.0,-0.841,-1129.0
16,Sodor2Stage,36037.0,21833.0,-0.746,-1038.9
17,Sodor3Stage,40231.0,22113.0,-0.791,-1231.3
18,Sodor5Stage,35294.0,21494.0,-0.311,-207.68
19,SodorUCode,39413.0,21232.0,-0.533,-759.42
20,TinyRocket,86856.0,35634.0,-0.49,-483.909
21,VexRiscvFull,1289464.0,678870.0,-0.552,-15128.8
22,VexRiscvFullNoMmu,1243033.0,660717.0,-0.534,-11740.0
23,VexRiscvFullNoMmuMaxPerf,2524557.0,1390118.0,-0.57,-34391.8
24,VexRiscvFullNoMmuNoCache,86594.0,29838.0,-0.51,-649.736
25,VexRiscvLinuxBalanced,895266.0,599075.0,-0.515,-5461.7
26,VexRiscvLinuxBalancedSmp,920140.0,605275.0,-0.496,-5671.7
27,VexRiscvLinuxFpuSmp,2559306.0,1325455.0,-0.624,-33212.4
28,VexRiscvLinuxFpuSmpNoDecoder,2592279.0,1338238.0,-0.661,-33793.1
29,VexRiscvLinuxFpuSmpStupidDecoder,2540132.0,1303093.0,-0.705,-39613.8
30,VexRiscvNoCacheNoMmuMaxPerf,323710.0,153538.0,-0.448,-4021.8
31,VexRiscvSecure,1220666.0,655909.0,-0.543,-12140.2
32,VexRiscvSmallAndProductive,28601.0,16253.0,-0.243,-145.58
33,VexRiscvSmallAndProductiveICache,552858.0,299759.0,-0.349,-2896.7
34,VexRiscvSmallest,27237.0,15697.0,-0.22,-91.892
35,VexRiscvSmallestNoCsr,27472.0,15582.0,-0.216,-78.811
36,VexRiscvThreeStages,34845.0,15343.0,-0.318,-221.775
37,VexRiscvThreeStagesBar,36298.0,16843.0,-0.43,-260.161
38,VexRiscvThreeStagesMD,78450.0,24534.0,-0.69,-833.351
39,VexRiscvThreeStagesMDfast,83987.0,26027.0,-1.08,-1076.8
40,VexRiscvTwoStages,35209.0,15596.0,-0.339,-362.166
41,VexRiscvTwoStagesBar,36639.0,16003.0,-0.355,-387.212
42,VexRiscvTwoStagesMD,79221.0,23351.0,-0.817,-958.048
43,VexRiscvTwoStagesMDfast,78769.0,24052.0,-0.951,-1086.7
44,ac97_ctrl,23784.0,6974.0,-0.008,-0.06
45,aes_core,30845.0,18455.0,-0.388,-137.846
46,arm9_cpu1,91363.0,29030.0,-1.396,-1096.2
47,arm9_cpu2,30853.0,14545.0,-0.403,-227.062
48,arm9_cpu3,63427.0,21100.0,-0.757,-469.621
49,b14,14561.0,4139.0,-0.472,-78.615
50,b14_1,13521.0,3881.0,-0.342,-54.345
51,b17,42311.0,20566.0,-0.335,-331.662
52,b17_1,41255.0,20904.0,-0.356,-333.94
53,b18,156053.0,52957.0,-0.795,-1086.1
54,b18_1,153698.0,52518.0,-0.827,-1061.9
55,b19,54398.0,23757.0,-0.084,-68.393
56,b19_1,53020.0,22923.0,-0.09,-72.237
57,b20,36786.0,9572.0,-0.455,-211.807
58,b20_1,35111.0,8671.0,-0.58,-222.567
59,b21,35905.0,9255.0,-0.495,-239.373
60,b22,55287.0,13758.0,-0.487,-282.941
61,b22_1,53064.0,12552.0,-0.455,-256.042
62,csc,3994006.0,1295101.0,-0.819,-14608.4
63,des_area_opt,14160.0,4308.0,-0.394,-27.253
64,des_perf_opt,314505.0,109989.0,-0.158,-197.508
65,ethernet,87428.0,81813.0,-0.159,-151.357
66,fft,122240.0,14870.0,-0.835,-163.462
67,fpu,535974.0,63528.0,-6.56,-738.139
68,mem_ctrl,18333.0,11338.0,-0.307,-77.306
69,pci,39633.0,11071.0,-0.234,-154.214
70,picorv32,36503.0,11094.0,-0.161,-124.966
71,rubik,69946.0,39170.0,-0.396,-364.697
72,s13207,3475.0,869.0,0.001,0.0
73,s35932,29782.0,5081.0,0.001,0.0
74,s38417,32892.0,7522.0,-0.152,-47.052
75,s38584,27577.0,7610.0,-0.007,-0.08
76,s838_1,721.0,258.0,-0.0,-0.0
77,spi,9219.0,3970.0,-0.18,-31.669
78,systemcaes,31278.0,10651.0,-0.43,-192.724
79,systemcdes,9853.0,3460.0,-0.327,-13.565
80,tv80,13850.0,5590.0,-0.471,-126.8
81,usb_funct,28339.0,14787.0,0.0,0.0
82,vga_lcd,230090.0,140373.0,-0.157,-1556.7
83,wb_conmax,106300.0,37186.0,-0.16,-54.173
84,wb_dma,10319.0,5353.0,-0.016,-1.483
