,Name,Power,Area,WNS,TNS,Path_number
0,Briey,2721.3,982067,-1.048,-99739.922,125241
1,FPU,295.2,82045,-1.639,-4592.432,3684
2,GCDTLRocket,5.8,1646,-0.257,-20.664,96
3,HwachaRocket,5918.2,2059411,-2.882,-365022.719,212756
4,LargeBoom,2138.4,731002,-2.118,-72339.008,48247
5,LoopbackNICLargeBoom,44.4,32092,-0.639,-1523.645,2498
6,MediumBoom,1481.8,489831,-1.663,-42191.0,34745
7,MediumRocket,134.1,46058,-1.135,-3225.323,3913
8,MegaBoom,3207.7,1229731,-3.512,-128092.195,65201
9,Murax,1435.2,522673,-0.715,-44780.266,67910
10,MuraxFast,1438.6,525587,-0.706,-45147.484,67970
11,RV32Rocket,98.6,31786,-1.03,-1924.794,2567
12,Rocket,158.7,50734,-1.152,-3341.616,3998
13,Sha3Rocket,190.0,46709,-0.756,-1914.625,3160
14,SmallBoom,1012.8,303882,-1.683,-26565.938,22571
15,Sodor1Stage,53.5,18258,-1.516,-1992.32,1363
16,Sodor2Stage,50.1,18601,-1.249,-1762.405,1487
17,Sodor3Stage,53.0,18592,-1.419,-2253.128,1637
18,Sodor5Stage,61.5,21326,-0.596,-738.603,1883
19,SodorUCode,48.3,18105,-0.959,-1400.966,1579
20,TinyRocket,86.0,27782,-0.945,-1693.997,2267
21,VexRiscvFull,1657.3,594068,-1.152,-47855.301,76028
22,VexRiscvFullNoMmu,1599.1,580053,-1.096,-39923.844,73636
23,VexRiscvFullNoMmuMaxPerf,3359.1,1231712,-1.134,-86830.828,158250
24,VexRiscvFullNoMmuNoCache,103.1,27638,-0.935,-1178.812,2018
25,VexRiscvLinuxBalanced,1641.4,583465,-1.054,-40865.734,74618
26,VexRiscvLinuxBalancedSmp,1654.0,591023,-0.994,-44510.574,74893
27,VexRiscvLinuxFpuSmp,3354.8,1177700,-1.044,-95909.484,146757
28,VexRiscvLinuxFpuSmpNoDecoder,3336.5,1169316,-1.035,-97206.297,146727
29,VexRiscvLinuxFpuSmpStupidDecoder,3358.2,1180179,-1.006,-97808.219,146747
30,VexRiscvNoCacheNoMmuMaxPerf,395.0,136828,-0.948,-10450.052,16042
31,VexRiscvSecure,1624.8,587038,-1.081,-44288.496,75307
32,VexRiscvSmallAndProductive,49.7,16322,-0.638,-685.674,1522
33,VexRiscvSmallAndProductiveICache,748.1,269331,-0.736,-15280.216,35006
34,VexRiscvSmallest,47.1,15156,-0.536,-585.329,1557
35,VexRiscvSmallestNoCsr,45.6,14824,-0.529,-529.328,1500
36,VexRiscvThreeStages,41.2,13292,-0.779,-651.929,1309
37,VexRiscvThreeStagesBar,44.6,14925,-0.856,-488.502,1331
38,VexRiscvThreeStagesMD,79.2,20686,-1.236,-1526.887,1513
39,VexRiscvThreeStagesMDfast,83.3,22241,-1.906,-1931.125,1539
40,VexRiscvTwoStages,41.6,13349,-0.793,-873.886,1289
41,VexRiscvTwoStagesBar,43.0,13645,-0.855,-969.326,1282
42,VexRiscvTwoStagesMD,69.2,20345,-1.485,-1802.038,1430
43,VexRiscvTwoStagesMDfast,69.8,20696,-1.627,-1892.778,1420
44,ac97_ctrl,55.3,17522,-0.15,-164.498,1670
45,aes_core,44.3,16680,-0.551,-184.976,409
46,arm9_cpu1,73.2,24582,-1.962,-1807.795,1218
47,arm9_cpu2,36.6,12428,-0.657,-423.326,732
48,arm9_cpu3,65.9,18078,-1.15,-727.039,770
49,b14,17.6,4610,-0.851,-149.097,214
50,b14_1,17.0,4390,-0.81,-139.444,214
51,b17,63.0,25803,-0.649,-714.779,1298
52,b17_1,62.4,25521,-0.649,-713.936,1301
53,b18,32.6,11022,-0.19,-94.728,674
54,b18_1,32.5,10991,-0.199,-99.22,677
55,b19,67.2,22383,-0.217,-234.205,1347
56,b19_1,67.2,22383,-0.217,-234.205,1347
57,b20,42.0,10529,-0.815,-287.221,430
58,b20_1,39.6,9926,-0.768,-278.221,428
59,b21,41.2,10438,-0.817,-287.571,431
60,b22,63.3,15869,-0.817,-413.779,613
61,b22_1,58.7,14475,-0.824,-413.664,612
62,csc,3242.1,1025672,-1.609,-50909.988,57613
63,des_area_opt,12.3,2819,-0.375,-22.739,64
64,des_perf_opt,413.2,93276,-0.357,-507.362,1536
65,ethernet,231.2,83442,-0.516,-3976.517,9639
66,fft,71.3,12556,-1.481,-257.257,256
67,fpu,303.5,54004,-9.755,-1062.72,335
68,mem_ctrl,29.9,10471,-0.567,-313.046,823
69,pci,75.7,27194,-0.462,-518.248,1380
70,picorv32,49.2,16737,-0.396,-522.419,1546
71,rubik,109.5,37067,-0.897,-1945.414,3286
72,s13207,5.8,1914,-0.048,-1.384,69
73,s35932,47.3,13773,-0.068,-3.362,116
74,s38417,46.0,13872,-0.483,-303.979,1090
75,s38584,39.7,11962,-0.205,-78.489,700
76,s838_1,1.1,418,-0.09,-1.819,29
77,spi,10.5,3468,-0.587,-84.758,207
78,systemcaes,32.7,9492,-0.836,-368.494,661
79,systemcdes,12.1,2982,-0.598,-34.557,127
80,tv80,17.9,6462,-1.061,-286.692,355
81,usb_funct,47.8,14732,-0.033,-0.135,8
82,vga_lcd,365.6,132045,-0.459,-7037.151,16586
83,wb_conmax,116.6,32665,-0.516,-191.567,515
84,wb_dma,17.5,5532,-0.202,-62.945,382
